doc_id,clean_text_length
1043,68383
913,56622
821,29292
816,22613
838,20242
533,19110
850,18515
852,18396
599,15634
552,14849
915,12961
561,12572
555,8792
896,7408
918,7101
823,6875
916,6776
1026,6734
942,6539
941,6445
970,6398
948,6386
579,6359
939,6040
919,5616
933,5480
931,5170
726,4532
881,4399
1020,4201
516,4131
610,3876
1025,3848
717,3677
914,3554
786,3366
738,3264
747,3168
595,3134
819,3103
936,3059
853,3057
608,2986
545,2938
701,2885
818,2860
598,2707
653,2691
880,2666
691,2638
871,2586
673,2497
586,2440
706,2401
496,2390
594,2361
929,2338
820,2331
930,2325
527,2312
994,2293
725,2273
840,2264
937,2257
827,2243
674,2201
826,2186
781,2145
753,2111
678,2078
976,2028
716,1998
971,1889
456,1842
856,1815
724,1810
927,1789
605,1781
1008,1757
628,1740
722,1736
563,1730
1035,1726
997,1723
720,1694
934,1687
613,1666
1033,1665
695,1653
635,1649
526,1619
825,1611
723,1589
736,1577
696,1563
718,1559
517,1534
734,1524
688,1515
565,1496
900,1487
887,1465
962,1454
926,1444
721,1444
940,1441
768,1412
898,1410
687,1403
890,1396
773,1393
698,1386
1034,1384
727,1379
585,1375
922,1363
907,1359
754,1346
683,1338
749,1333
766,1325
622,1324
904,1289
1032,1281
531,1278
640,1267
705,1246
735,1243
752,1232
587,1226
1031,1216
891,1213
925,1200
676,1187
703,1185
893,1176
784,1173
889,1167
729,1164
780,1161
886,1159
702,1153
708,1151
732,1145
822,1132
751,1123
519,1120
761,1115
875,1112
876,1111
857,1109
557,1102
860,1102
621,1077
700,1077
883,1072
639,1065
759,1062
864,1060
862,1053
824,1049
865,1048
584,1042
888,1030
851,1028
624,1021
681,1010
638,1005
844,996
650,996
623,989
654,989
764,986
601,985
923,984
583,964
863,962
858,961
868,944
894,942
668,940
950,938
658,933
870,931
730,928
841,926
845,925
892,924
952,922
924,921
884,915
866,914
659,909
885,906
739,905
625,904
649,895
748,894
855,894
872,892
996,890
869,873
777,870
591,865
921,864
756,863
1015,863
746,856
993,855
755,853
867,847
655,846
771,842
785,829
636,827
626,826
899,813
661,810
817,804
1030,801
874,795
614,789
656,787
689,785
629,783
704,778
843,777
953,776
995,774
637,770
967,769
719,762
590,761
854,754
544,745
743,745
589,742
839,739
920,732
677,732
530,725
842,724
987,722
861,722
699,713
1018,704
468,699
686,694
713,688
711,686
767,672
604,660
758,658
757,657
644,649
1003,649
765,647
1017,639
670,639
744,638
1016,624
648,624
564,622
685,619
951,613
499,586
592,582
492,576
712,575
779,574
646,573
731,567
998,566
546,564
742,552
1006,547
1012,543
1011,536
969,531
593,527
652,523
973,512
607,507
680,507
760,504
675,501
642,491
778,486
1014,474
709,469
573,459
1013,458
1007,458
569,455
641,441
762,437
972,433
671,429
1009,424
733,423
609,409
615,405
990,404
707,404
679,403
1036,389
989,384
647,376
943,361
966,347
690,339
897,331
992,308
873,306
902,293
964,292
965,291
1010,276
566,271
954,269
974,268
968,262
572,241
574,238
763,233
963,233
567,212
568,202
570,194
1037,185
991,185
497,169
960,160
959,139
1044,80
1019,37
1041,37
